"Age at death with <1 yr olds","Race and origin recode (NHW, NHB, NHAIAN, NHAPI, Hispanic)","Crude Rate","Count","Population"
0,0,^,^,4890460
0,1,^,^,1396743
0,2,^,^,109119
0,3,^,^,1034736
0,4,^,^,3724477
0,5,^,^,0
1,0,^,^,19821530
1,1,^,^,5649743
1,2,^,^,435898
1,3,^,^,4201109
1,4,^,^,14598079
1,5,^,^,0
2,0,^,^,25581643
2,1,^,^,7297548
2,2,^,^,561431
2,3,^,^,5176822
2,4,^,^,17862298
2,5,^,^,0
3,0,^,^,27216327
3,1,^,^,7667960
3,2,^,^,609073
3,3,^,^,5223634
3,4,^,^,17643578
3,5,^,^,0
4,0,^,^,27890127
4,1,^,^,7781912
4,2,^,^,624618
4,3,^,^,5346551
4,4,^,^,16766510
4,5,^,^,0
5,0,0.1,21,28500121
5,1,0.2,18,7675981
5,2,^,^,594432
5,3,^,^,5923888
5,4,0.1,16,16347026
5,5,^,^,0
6,0,0.6,166,28875536
6,1,1.9,136,7346908
6,2,^,^,551758
6,3,0.4,29,7106474
6,4,0.7,107,16037523
6,5,^,^,0
7,0,2.4,716,29232739
7,1,6.1,430,7056079
7,2,2.9,15,511073
7,3,1.7,128,7408956
7,4,2.4,365,15365738
7,5,^,^,0
8,0,5.7,1756,30568167
8,1,12.9,915,7068031
8,2,6.6,33,503506
8,3,4.5,330,7352431
8,4,5.8,843,14571779
8,5,^,^,0
9,0,11.0,3598,32703007
9,1,22.5,1591,7075392
9,2,11.1,57,512851
9,3,8.9,632,7067733
9,4,10.5,1388,13279224
9,5,~,12,0
10,0,17.7,6180,34875893
10,1,36.0,2493,6917851
10,2,20.6,107,520029
10,3,14.5,971,6694176
10,4,16.9,1962,11618762
10,5,~,25,0
11,0,27.6,9819,35599080
11,1,53.7,3481,6477328
11,2,30.5,152,499086
11,3,22.7,1392,6130496
11,4,25.7,2501,9713801
11,5,~,17,0
12,0,41.2,13976,33953365
12,1,74.5,4177,5610045
12,2,34.8,153,439723
12,3,30.5,1647,5400229
12,4,36.6,2841,7754990
12,5,~,38,0
13,0,60.8,17970,29531775
13,1,96.6,4337,4489515
13,2,66.5,232,348615
13,3,39.6,1780,4491542
13,4,48.6,2857,5873620
13,5,~,31,0
14,0,88.0,21524,24452650
14,1,128.9,4439,3444422
14,2,87.3,226,258732
14,3,48.8,1759,3601904
14,4,65.6,2862,4363597
14,5,~,30,0
15,0,130.4,26061,19980815
15,1,169.7,4328,2549661
15,2,130.1,240,184508
15,3,64.5,1794,2782959
15,4,87.2,2826,3240752
15,5,~,35,0
16,0,189.3,31013,16381097
16,1,227.2,4239,1866052
16,2,159.2,201,126247
16,3,87.8,1838,2094459
16,4,123.4,2922,2368034
16,5,~,31,0
17,0,290.4,37746,12996046
17,1,322.4,4174,1294650
17,2,241.2,200,82909
17,3,133.4,1990,1491962
17,4,194.7,3169,1627240
17,5,~,51,0
18,0,608.3,88499,14548561
18,1,534.8,6859,1282485
18,2,365.6,283,77406
18,3,279.1,4135,1481613
18,4,363.9,5443,1495538
18,5,~,113,0
