"Sex","Age","SIRE","Crude","Count","Population"
0,0,0,"0.0",0,6462002
0,0,1,"0.0",0,1495214
0,0,2,"0.0",0,225822
0,0,3,"0.0",0,1788765
0,0,4,"0.0",0,5017443
0,0,5,"~",1,0
0,1,0,"0.0",2,26186790
0,1,1,"0.0",0,6150671
0,1,2,"0.0",0,921108
0,1,3,"0.0",0,7197747
0,1,4,"0.0",0,19638358
0,1,5,"~",0,0
0,2,0,"0.1",20,33259941
0,2,1,"0.0",0,8018532
0,2,2,"0.0",0,1193359
0,2,3,"0.0",3,8659122
0,2,4,"0.0",9,23426097
0,2,5,"~",0,0
0,3,0,"0.3",92,34719245
0,3,1,"0.2",13,8115570
0,3,2,"0.2",2,1242637
0,3,3,"0.2",14,8859635
0,3,4,"0.2",49,22844072
0,3,5,"~",4,0
0,4,0,"0.7",235,35097225
0,4,1,"0.3",25,7947601
0,4,2,"0.3",4,1215868
0,4,3,"0.5",42,8976492
0,4,4,"0.5",110,22256810
0,4,5,"~",6,0
0,5,0,"1.4",497,35985896
0,5,1,"0.9",72,7776622
0,5,2,"1.0",11,1132071
0,5,3,"0.9",88,10040657
0,5,4,"0.9",210,22756256
0,5,5,"~",15,0
0,6,0,"2.5",985,38894514
0,6,1,"2.3",190,8115503
0,6,2,"3.5",37,1063717
0,6,3,"2.3",270,11924364
0,6,4,"2.0",450,23038309
0,6,5,"~",21,0
0,7,0,"4.6",1928,41484965
0,7,1,"4.8",388,8132218
0,7,2,"6.3",64,1022235
0,7,3,"4.1",502,12221448
0,7,4,"3.8",826,21825531
0,7,5,"~",37,0
0,8,0,"8.4",3597,42710583
0,8,1,"10.0",789,7911640
0,8,2,"14.9",145,976390
0,8,3,"8.6",1014,11832544
0,8,4,"7.2",1427,19791917
0,8,5,"~",65,0
0,9,0,"15.8",6817,43020647
0,9,1,"19.2",1440,7481393
0,9,2,"20.4",189,927503
0,9,3,"16.2",1803,11145781
0,9,4,"13.0",2263,17367819
0,9,5,"~",100,0
0,10,0,"28.3",12173,43005770
0,10,1,"37.8",2597,6863999
0,10,2,"41.9",362,863037
0,10,3,"30.0",3092,10320298
0,10,4,"23.9",3507,14696375
0,10,5,"~",172,0
0,11,0,"52.7",21744,41269406
0,11,1,"73.4",4492,6119027
0,11,2,"71.7",558,778347
0,11,3,"58.5",5403,9238493
0,11,4,"48.3",5812,12044229
0,11,5,"~",396,0
0,12,0,"67.1",25185,37507933
0,12,1,"92.6",4746,5127147
0,12,2,"86.2",569,660422
0,12,3,"70.4",5635,8009464
0,12,4,"62.0",5859,9452167
0,12,5,"~",292,0
0,13,0,"96.8",31139,32158776
0,13,1,"134.3",5393,4015032
0,13,2,"130.4",669,513042
0,13,3,"93.4",6300,6745635
0,13,4,"88.7",6325,7130131
0,13,5,"~",256,0
0,14,0,"141.8",38020,26803969
0,14,1,"185.2",5610,3028841
0,14,2,"160.9",610,379113
0,14,3,"131.4",7256,5519997
0,14,4,"127.3",6683,5250218
0,14,5,"~",253,0
0,15,0,"196.1",42979,21917376
0,15,1,"228.1",4988,2187077
0,15,2,"224.6",601,267625
0,15,3,"161.3",6923,4292724
0,15,4,"155.3",5885,3788612
0,15,5,"~",204,0
0,16,0,"259.8",44922,17288417
0,16,1,"279.3",4287,1535134
0,16,2,"266.7",472,177008
0,16,3,"202.6",6361,3139633
0,16,4,"195.7",5144,2628154
0,16,5,"~",141,0
0,17,0,"324.4",41307,12731717
0,17,1,"326.7",3253,995670
0,17,2,"301.4",333,110500
0,17,3,"244.1",5292,2168244
0,17,4,"229.9",4001,1740660
0,17,5,"~",87,0
0,18,0,"349.5",44622,12768911
0,18,1,"336.3",2997,891181
0,18,2,"270.0",249,92225
0,18,3,"255.7",5263,2058352
0,18,4,"247.3",3736,1510635
0,18,5,"~",67,0
0,19,0,"~",0,0
0,19,1,"~",0,0
0,19,2,"~",0,0
0,19,3,"~",0,0
0,19,4,"~",0,0
0,19,5,"~",0,0
1,0,0,"0.0",0,3315057
1,0,1,"0.0",0,760607
1,0,2,"0.0",0,113913
1,0,3,"0.0",0,924328
1,0,4,"0.0",0,2561059
1,0,5,"~",1,0
1,1,0,"0.0",0,13432387
1,1,1,"0.0",0,3129959
1,1,2,"0.0",0,466842
1,1,3,"0.0",0,3695249
1,1,4,"0.0",0,10021432
1,1,5,"~",0,0
1,2,0,"0.1",11,17077700
1,2,1,"0.0",0,4071242
1,2,2,"0.0",0,606568
1,2,3,"0.0",1,4433748
1,2,4,"0.0",3,11952485
1,2,5,"~",0,0
1,3,0,"0.2",35,17831762
1,3,1,"0.2",8,4130883
1,3,2,"0.3",2,630329
1,3,3,"0.2",9,4540895
1,3,4,"0.2",21,11658288
1,3,5,"~",0,0
1,4,0,"0.6",114,17967271
1,4,1,"0.4",15,4032129
1,4,2,"0.2",1,616342
1,4,3,"0.5",24,4607860
1,4,4,"0.4",49,11503777
1,4,5,"~",3,0
1,5,0,"1.3",247,18397357
1,5,1,"1.0",37,3865037
1,5,2,"1.6",9,575103
1,5,3,"0.8",41,5119307
1,5,4,"0.9",107,12023660
1,5,5,"~",6,0
1,6,0,"2.4",477,19862140
1,6,1,"2.6",102,3912136
1,6,2,"3.0",16,532620
1,6,3,"2.4",138,5861321
1,6,4,"1.8",216,12218163
1,6,5,"~",10,0
1,7,0,"4.8",1017,21261633
1,7,1,"4.5",177,3893422
1,7,2,"5.3",27,507171
1,7,3,"4.4",259,5928170
1,7,4,"3.8",440,11447600
1,7,5,"~",20,0
1,8,0,"8.9",1941,21850670
1,8,1,"10.1",381,3766631
1,8,2,"16.5",79,478654
1,8,3,"9.2",523,5672410
1,8,4,"7.2",738,10250089
1,8,5,"~",34,0
1,9,0,"16.8",3667,21884774
1,9,1,"21.1",750,3552466
1,9,2,"19.9",90,452295
1,9,3,"17.6",929,5268411
1,9,4,"12.9",1141,8869245
1,9,5,"~",43,0
1,10,0,"31.0",6758,21773068
