"Sex","Age","SIRE","Crude","Count","Population"
0,0,0,"0.0",0,6462002
0,0,1,"0.0",0,1495214
0,0,2,"0.0",0,225822
0,0,3,"0.0",0,1788765
0,0,4,"0.0",0,5017443
0,0,5,"~",0,0
0,1,0,"0.0",0,26186790
0,1,1,"0.0",0,6150671
0,1,2,"0.0",0,921108
0,1,3,"0.0",0,7197747
0,1,4,"0.0",0,19638358
0,1,5,"~",0,0
0,2,0,"0.0",0,33259941
0,2,1,"0.0",0,8018532
0,2,2,"0.0",0,1193359
0,2,3,"0.0",0,8659122
0,2,4,"0.0",0,23426097
0,2,5,"~",0,0
0,3,0,"0.0",3,34719245
0,3,1,"0.0",0,8115570
0,3,2,"0.0",0,1242637
0,3,3,"0.0",3,8859635
0,3,4,"0.0",3,22844072
0,3,5,"~",0,0
0,4,0,"0.0",15,35097225
0,4,1,"0.1",5,7947601
0,4,2,"0.1",1,1215868
0,4,3,"0.1",7,8976492
0,4,4,"0.0",10,22256810
0,4,5,"~",0,0
0,5,0,"0.1",46,35985896
0,5,1,"0.3",21,7776622
0,5,2,"0.4",4,1132071
0,5,3,"0.3",26,10040657
0,5,4,"0.2",48,22756256
0,5,5,"~",0,0
0,6,0,"0.4",153,38894514
0,6,1,"0.6",49,8115503
0,6,2,"1.1",12,1063717
0,6,3,"0.6",69,11924364
0,6,4,"0.4",93,23038309
0,6,5,"~",1,0
0,7,0,"1.0",420,41484965
0,7,1,"1.3",109,8132218
0,7,2,"1.7",17,1022235
0,7,3,"1.0",128,12221448
0,7,4,"0.8",185,21825531
0,7,5,"~",2,0
0,8,0,"1.8",784,42710583
0,8,1,"3.1",246,7911640
0,8,2,"4.2",41,976390
0,8,3,"2.0",240,11832544
0,8,4,"1.7",341,19791917
0,8,5,"~",0,0
0,9,0,"3.6",1558,43020647
0,9,1,"6.4",477,7481393
0,9,2,"6.1",57,927503
0,9,3,"4.0",441,11145781
0,9,4,"3.5",604,17367819
0,9,5,"~",1,0
0,10,0,"7.3",3137,43005770
0,10,1,"13.3",912,6863999
0,10,2,"11.2",97,863037
0,10,3,"7.8",810,10320298
0,10,4,"6.8",1003,14696375
0,10,5,"~",8,0
0,11,0,"13.1",5410,41269406
0,11,1,"23.5",1441,6119027
0,11,2,"22.0",171,778347
0,11,3,"13.0",1199,9238493
0,11,4,"12.2",1475,12044229
0,11,5,"~",16,0
0,12,0,"22.0",8237,37507933
0,12,1,"39.7",2033,5127147
0,12,2,"33.6",222,660422
0,12,3,"20.3",1623,8009464
0,12,4,"21.4",2024,9452167
0,12,5,"~",17,0
0,13,0,"36.1",11595,32158776
0,13,1,"63.6",2552,4015032
0,13,2,"62.8",322,513042
0,13,3,"31.5",2124,6745635
0,13,4,"35.2",2509,7130131
0,13,5,"~",30,0
0,14,0,"58.5",15681,26803969
0,14,1,"101.8",3082,3028841
0,14,2,"83.6",317,379113
0,14,3,"45.1",2492,5519997
0,14,4,"55.2",2898,5250218
0,14,5,"~",30,0
0,15,0,"97.9",21451,21917376
0,15,1,"146.2",3198,2187077
0,15,2,"142.0",380,267625
0,15,3,"75.6",3246,4292724
0,15,4,"85.1",3223,3788612
0,15,5,"~",29,0
0,16,0,"166.1",28711,17288417
0,16,1,"223.7",3434,1535134
0,16,2,"224.8",398,177008
0,16,3,"119.4",3748,3139633
0,16,4,"133.5",3509,2628154
0,16,5,"~",41,0
0,17,0,"277.9",35385,12731717
0,17,1,"334.2",3328,995670
0,17,2,"320.4",354,110500
0,17,3,"200.4",4346,2168244
0,17,4,"214.1",3726,1740660
0,17,5,"~",45,0
0,18,0,"594.8",75947,12768911
0,18,1,"564.5",5031,891181
0,18,2,"473.8",437,92225
0,18,3,"431.8",8888,2058352
0,18,4,"404.5",6110,1510635
0,18,5,"~",80,0
1,0,0,"0.0",0,3315057
1,0,1,"0.0",0,760607
1,0,2,"0.0",0,113913
1,0,3,"0.0",0,924328
1,0,4,"0.0",0,2561059
1,0,5,"~",0,0
1,1,0,"0.0",0,13432387
1,1,1,"0.0",0,3129959
1,1,2,"0.0",0,466842
1,1,3,"0.0",0,3695249
1,1,4,"0.0",0,10021432
1,1,5,"~",0,0
1,2,0,"0.0",0,17077700
1,2,1,"0.0",0,4071242
1,2,2,"0.0",0,606568
1,2,3,"0.0",0,4433748
1,2,4,"0.0",0,11952485
1,2,5,"~",0,0
1,3,0,"0.0",3,17831762
1,3,1,"0.0",0,4130883
1,3,2,"0.0",0,630329
1,3,3,"0.0",2,4540895
1,3,4,"0.0",2,11658288
1,3,5,"~",0,0
1,4,0,"0.1",10,17967271
1,4,1,"0.1",4,4032129
1,4,2,"0.0",0,616342
1,4,3,"0.1",6,4607860
1,4,4,"0.0",5,11503777
1,4,5,"~",0,0
1,5,0,"0.2",33,18397357
1,5,1,"0.4",14,3865037
1,5,2,"0.7",4,575103
1,5,3,"0.3",17,5119307
1,5,4,"0.2",28,12023660
1,5,5,"~",0,0
1,6,0,"0.4",79,19862140
1,6,1,"0.6",22,3912136
1,6,2,"0.9",5,532620
1,6,3,"0.7",39,5861321
1,6,4,"0.5",55,12218163
1,6,5,"~",1,0
1,7,0,"1.1",237,21261633
1,7,1,"1.4",56,3893422
1,7,2,"1.2",6,507171
1,7,3,"1.1",63,5928170
1,7,4,"0.8",94,11447600
1,7,5,"~",1,0
1,8,0,"2.1",455,21850670
1,8,1,"3.3",123,3766631
1,8,2,"5.6",27,478654
1,8,3,"2.2",122,5672410
1,8,4,"1.9",194,10250089
1,8,5,"~",0,0
1,9,0,"3.9",853,21884774
1,9,1,"7.2",255,3552466
1,9,2,"6.0",27,452295
1,9,3,"4.3",224,5268411
1,9,4,"3.6",322,8869245
1,9,5,"~",0,0
1,10,0,"8.3",1817,21773068
1,10,1,"15.0",488,3254555
1,10,2,"13.2",55,417706
1,10,3,"9.4",455,4858014
1,10,4,"7.4",549,7415005
1,10,5,"~",4,0
1,11,0,"15.5",3217,20753621
