"Sex","Age.recode.with..1.year.olds","Race.and.origin.recode..NHW..NHB..NHAIAN..NHAPI..Hispanic.","Crude.Rate","Count","Population"
0,0,0,"0.1",9,6462002
0,0,1,"0.1",2,1495214
0,0,2,"0.0",0,225822
0,0,3,"0.1",2,1788765
0,0,4,"0.0",2,5017443
0,0,5,"~",0,0
0,1,0,"0.1",18,26186790
0,1,1,"0.0",2,6150671
0,1,2,"0.0",0,921108
0,1,3,"0.0",1,7197747
0,1,4,"0.0",5,19638358
0,1,5,"~",0,0
0,2,0,"0.0",4,33259941
0,2,1,"0.0",2,8018532
0,2,2,"0.0",0,1193359
0,2,3,"0.0",1,8659122
0,2,4,"0.0",2,23426097
0,2,5,"~",0,0
0,3,0,"0.1",20,34719245
0,3,1,"0.1",5,8115570
0,3,2,"0.1",1,1242637
0,3,3,"0.0",3,8859635
0,3,4,"0.1",13,22844072
0,3,5,"~",0,0
0,4,0,"0.1",51,35097225
0,4,1,"0.1",6,7947601
0,4,2,"0.0",0,1215868
0,4,3,"0.0",2,8976492
0,4,4,"0.1",20,22256810
0,4,5,"~",1,0
0,5,0,"0.3",105,35985896
0,5,1,"0.4",29,7776622
0,5,2,"0.4",5,1132071
0,5,3,"0.2",22,10040657
0,5,4,"0.3",66,22756256
0,5,5,"~",0,0
0,6,0,"0.6",224,38894514
0,6,1,"0.4",32,8115503
0,6,2,"0.3",3,1063717
0,6,3,"0.6",72,11924364
0,6,4,"0.4",90,23038309
0,6,5,"~",1,0
0,7,0,"1.3",520,41484965
0,7,1,"1.5",121,8132218
0,7,2,"0.6",6,1022235
0,7,3,"1.4",174,12221448
0,7,4,"0.7",161,21825531
0,7,5,"~",8,0
0,8,0,"3.1",1339,42710583
0,8,1,"4.3",339,7911640
0,8,2,"2.3",22,976390
0,8,3,"3.1",370,11832544
0,8,4,"1.7",335,19791917
0,8,5,"~",8,0
0,9,0,"8.4",3615,43020647
0,9,1,"13.2",987,7481393
0,9,2,"5.2",48,927503
0,9,3,"7.3",819,11145781
0,9,4,"3.8",664,17367819
0,9,5,"~",11,0
0,10,0,"21.0",9019,43005770
0,10,1,"30.7",2110,6863999
0,10,2,"15.1",130,863037
0,10,3,"15.2",1571,10320298
0,10,4,"8.3",1225,14696375
0,10,5,"~",33,0
0,11,0,"44.9",18549,41269406
0,11,1,"67.1",4107,6119027
0,11,2,"33.7",262,778347
0,11,3,"31.3",2889,9238493
0,11,4,"17.6",2123,12044229
0,11,5,"~",45,0
0,12,0,"87.5",32805,37507933
0,12,1,"118.6",6083,5127147
0,12,2,"73.6",486,660422
0,12,3,"55.8",4466,8009464
0,12,4,"34.3",3243,9452167
0,12,5,"~",84,0
0,13,0,"152.4",49013,32158776
0,13,1,"190.8",7662,4015032
0,13,2,"132.0",677,513042
0,13,3,"94.0",6341,6745635
0,13,4,"62.6",4465,7130131
0,13,5,"~",118,0
0,14,0,"242.3",64945,26803969
0,14,1,"284.3",8612,3028841
0,14,2,"177.0",671,379113
0,14,3,"150.0",8279,5519997
0,14,4,"112.4",5900,5250218
0,14,5,"~",145,0
0,15,0,"336.2",73681,21917376
0,15,1,"351.8",7694,2187077
0,15,2,"284.7",762,267625
0,15,3,"212.4",9117,4292724
0,15,4,"165.7",6277,3788612
0,15,5,"~",129,0
0,16,0,"402.3",69557,17288417
0,16,1,"399.6",6135,1535134
0,16,2,"338.4",599,177008
0,16,3,"269.2",8452,3139633
0,16,4,"220.4",5792,2628154
0,16,5,"~",86,0
0,17,0,"399.8",50900,12731717
0,17,1,"371.5",3699,995670
0,17,2,"339.4",375,110500
0,17,3,"299.5",6494,2168244
0,17,4,"239.4",4168,1740660
0,17,5,"~",77,0
0,18,0,"295.7",37761,12768911
0,18,1,"291.2",2595,891181
0,18,2,"245.1",226,92225
0,18,3,"276.7",5696,2058352
0,18,4,"215.2",3251,1510635
0,18,5,"~",49,0
0,19,0,"~",0,0
0,19,1,"~",0,0
0,19,2,"~",0,0
0,19,3,"~",0,0
0,19,4,"~",0,0
0,19,5,"~",0,0
1,0,0,"0.1",4,3315057
1,0,1,"0.1",1,760607
1,0,2,"0.0",0,113913
1,0,3,"0.1",1,924328
1,0,4,"0.0",1,2561059
1,0,5,"~",0,0
1,1,0,"0.1",12,13432387
1,1,1,"0.0",1,3129959
1,1,2,"0.0",0,466842
1,1,3,"0.0",1,3695249
1,1,4,"0.0",3,10021432
1,1,5,"~",0,0
1,2,0,"0.0",3,17077700
1,2,1,"0.0",1,4071242
1,2,2,"0.0",0,606568
1,2,3,"0.0",0,4433748
1,2,4,"0.0",0,11952485
1,2,5,"~",0,0
1,3,0,"0.1",14,17831762
1,3,1,"0.1",4,4130883
1,3,2,"0.2",1,630329
1,3,3,"0.0",0,4540895
1,3,4,"0.0",5,11658288
1,3,5,"~",0,0
1,4,0,"0.1",24,17967271
