"Sex","Age","SIRE","Crude","Count","Population"
0,0,0,"0.0",1,6462002
0,0,1,"0.0",0,1495214
0,0,2,"0.0",0,225822
0,0,3,"0.0",0,1788765
0,0,4,"0.0",0,5017443
0,0,5,"~",0,0
0,1,0,"0.0",2,26186790
0,1,1,"0.0",1,6150671
0,1,2,"0.0",0,921108
0,1,3,"0.0",0,7197747
0,1,4,"0.0",2,19638358
0,1,5,"~",0,0
0,2,0,"0.0",0,33259941
0,2,1,"0.0",0,8018532
0,2,2,"0.0",0,1193359
0,2,3,"0.0",0,8659122
0,2,4,"0.0",0,23426097
0,2,5,"~",0,0
0,3,0,"0.0",3,34719245
0,3,1,"0.0",2,8115570
0,3,2,"0.0",0,1242637
0,3,3,"0.0",1,8859635
0,3,4,"0.0",3,22844072
0,3,5,"~",0,0
0,4,0,"0.0",9,35097225
0,4,1,"0.0",1,7947601
0,4,2,"0.0",0,1215868
0,4,3,"0.0",3,8976492
0,4,4,"0.0",5,22256810
0,4,5,"~",0,0
0,5,0,"0.1",23,35985896
0,5,1,"0.1",9,7776622
0,5,2,"0.3",3,1132071
0,5,3,"0.0",3,10040657
0,5,4,"0.1",14,22756256
0,5,5,"~",0,0
0,6,0,"0.2",71,38894514
0,6,1,"0.2",16,8115503
0,6,2,"0.1",1,1063717
0,6,3,"0.3",31,11924364
0,6,4,"0.2",40,23038309
0,6,5,"~",0,0
0,7,0,"0.5",217,41484965
0,7,1,"0.7",53,8132218
0,7,2,"0.2",2,1022235
0,7,3,"0.7",89,12221448
0,7,4,"0.4",95,21825531
0,7,5,"~",1,0
0,8,0,"1.6",673,42710583
0,8,1,"2.7",211,7911640
0,8,2,"1.6",16,976390
0,8,3,"1.8",213,11832544
0,8,4,"0.9",170,19791917
0,8,5,"~",0,0
0,9,0,"5.1",2195,43020647
0,9,1,"9.3",696,7481393
0,9,2,"3.1",29,927503
0,9,3,"4.1",454,11145781
0,9,4,"2.3",405,17367819
0,9,5,"~",3,0
0,10,0,"13.5",5798,43005770
0,10,1,"22.0",1511,6863999
0,10,2,"10.8",93,863037
0,10,3,"9.6",986,10320298
0,10,4,"5.0",728,14696375
0,10,5,"~",12,0
0,11,0,"30.4",12555,41269406
0,11,1,"49.4",3023,6119027
0,11,2,"20.7",161,778347
0,11,3,"18.7",1728,9238493
0,11,4,"12.2",1468,12044229
0,11,5,"~",21,0
0,12,0,"60.6",22722,37507933
0,12,1,"88.9",4558,5127147
